contractId,stockSymbol,securityName,contractQuantity,contractRate,contractAmount,tradeTime,businessDate,capturedAt
2026061601017786,RSML,Reliance Spinning Mills Limited,30,3351.1,100533.0,2026-06-16T14:53:22.271352,2026-06-16,2026-06-16T19:09:35.295717
2026061601017787,RSML,Reliance Spinning Mills Limited,10,3351.0,33510.0,2026-06-16T14:53:22.271856,2026-06-16,2026-06-16T19:09:35.295716
2026061601017788,RSML,Reliance Spinning Mills Limited,20,3351.0,67020.0,2026-06-16T14:53:22.272157,2026-06-16,2026-06-16T19:09:35.295715
2026061601017789,RSML,Reliance Spinning Mills Limited,40,3350.0,134000.0,2026-06-16T14:53:22.272461,2026-06-16,2026-06-16T19:09:35.295714
2026061601017790,CITY,City Hotel Limited,50,433.9,21695.0,2026-06-16T14:53:22.57615,2026-06-16,2026-06-16T19:09:35.295714
2026061601017791,CITY,City Hotel Limited,450,434.0,195300.0,2026-06-16T14:53:22.576889,2026-06-16,2026-06-16T19:09:35.295713
2026061601017792,BUNGAL,Bungal Hydro Limited,10,740.6,7406.0,2026-06-16T14:53:24.472888,2026-06-16,2026-06-16T19:09:35.295711
2026061601017793,BUNGAL,Bungal Hydro Limited,40,740.5,29620.0,2026-06-16T14:53:24.473384,2026-06-16,2026-06-16T19:09:35.295710
2026061601017794,HBL,Himalayan Bank Limited,10,197.3,1973.0,2026-06-16T14:53:24.63422,2026-06-16,2026-06-16T19:09:35.295709
2026061601017795,SBL,Siddhartha Bank Limited,150,395.5,59325.0,2026-06-16T14:53:25.6286,2026-06-16,2026-06-16T19:09:35.295695
2026061601017796,SOHL,Solu Hydropower Limited,10,634.0,6340.0,2026-06-16T14:53:25.707622,2026-06-16,2026-06-16T19:09:34.357974
2026061601017797,JHAPA,Jhapa Energy Limited,160,1323.0,211680.0,2026-06-16T14:53:25.962684,2026-06-16,2026-06-16T19:09:34.357973
2026061601017798,CITY,City Hotel Limited,30,433.0,12990.0,2026-06-16T14:53:26.34491,2026-06-16,2026-06-16T19:09:34.357971
2026061601017799,SIPD,Shikhar power Development Limited,10,731.0,7310.0,2026-06-16T14:53:26.874476,2026-06-16,2026-06-16T19:09:34.357970
2026061601017800,SAIL,Shreenagar Agritech Industries Limited,10,1035.2,10352.0,2026-06-16T14:53:28.156143,2026-06-16,2026-06-16T19:09:34.357963
2026061601017801,KHPL,Kalinchock Hydropower Limited,10,1017.0,10170.0,2026-06-16T14:53:28.494191,2026-06-16,2026-06-16T19:09:34.357960
2026061601017802,SKHL,Super Khudi Hydropower Limited,20,926.0,18520.0,2026-06-16T14:53:28.931393,2026-06-16,2026-06-16T19:09:34.357956
2026061601017803,SKHL,Super Khudi Hydropower Limited,10,926.0,9260.0,2026-06-16T14:53:28.931818,2026-06-16,2026-06-16T19:09:34.357955
2026061601017804,RBCLPO,Rastriya Beema Company Limited Promoter Share,10,11750.0,117500.0,2026-06-16T14:53:30.099525,2026-06-16,2026-06-16T19:09:34.357949
2026061601017805,PCIL,Palpa Cement Industries Limited,10,738.2,7382.0,2026-06-16T14:53:30.751722,2026-06-16,2026-06-16T19:09:34.357943
2026061601017806,CITY,City Hotel Limited,35,434.0,15190.0,2026-06-16T14:53:30.787332,2026-06-16,2026-06-16T19:09:34.357940
2026061601017807,CITY,City Hotel Limited,200,434.0,86800.0,2026-06-16T14:53:30.788055,2026-06-16,2026-06-16T19:09:34.357939
2026061601017808,CITY,City Hotel Limited,50,434.0,21700.0,2026-06-16T14:53:30.788546,2026-06-16,2026-06-16T19:09:34.357938
2026061601017809,CITY,City Hotel Limited,215,434.7,93460.5,2026-06-16T14:53:30.789057,2026-06-16,2026-06-16T19:09:34.357937
2026061601017810,NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082,50,1041.5,52075.0,2026-06-16T14:53:30.922804,2026-06-16,2026-06-16T19:09:34.357936
2026061601017811,SANIMA,Sanima Bank Limited,5000,363.0,1815000.0,2026-06-16T14:53:31.26365,2026-06-16,2026-06-16T19:09:34.357934
2026061601017812,SANIMA,Sanima Bank Limited,35,363.5,12722.5,2026-06-16T14:53:32.128543,2026-06-16,2026-06-16T19:09:34.357930
2026061601017813,NMB,NMB Bank Limited,97,242.4,23512.8,2026-06-16T14:53:33.955244,2026-06-16,2026-06-16T19:09:34.357921
2026061603005462,JFL,Janaki Finance Company Limited,150,407.3,61095.0,2026-06-16T14:51:57.041228,2026-06-16,2026-06-16T19:09:39.132627
2026061603005463,CORBL,Corporate Development Bank Limited,10,1753.0,17530.0,2026-06-16T14:51:58.325518,2026-06-16,2026-06-16T19:09:39.132624
2026061603005464,KSBBL,Kamana Sewa Bikas Bank Limited,176,483.3,85060.8,2026-06-16T14:51:58.980343,2026-06-16,2026-06-16T19:09:39.132620
2026061603005465,SINDU,Sindhu Bikash Bank Ltd,200,737.9,147580.0,2026-06-16T14:51:59.217175,2026-06-16,2026-06-16T19:09:39.132619
2026061603005466,SINDU,Sindhu Bikash Bank Ltd,50,739.0,36950.0,2026-06-16T14:51:59.21725,2026-06-16,2026-06-16T19:09:39.132618
2026061603005467,SINDU,Sindhu Bikash Bank Ltd,50,739.8,36990.0,2026-06-16T14:51:59.21729,2026-06-16,2026-06-16T19:09:39.132617
2026061603005468,SINDU,Sindhu Bikash Bank Ltd,10,740.0,7400.0,2026-06-16T14:51:59.217318,2026-06-16,2026-06-16T19:09:39.132616
2026061603005469,SINDU,Sindhu Bikash Bank Ltd,10,743.8,7438.0,2026-06-16T14:51:59.217343,2026-06-16,2026-06-16T19:09:39.132615
2026061603005492,LBBL,Lumbini Bikas Bank Ltd.,80,490.0,39200.0,2026-06-16T14:52:38.688693,2026-06-16,2026-06-16T19:09:33.470207
2026061603005493,LBBL,Lumbini Bikas Bank Ltd.,1000,490.0,490000.0,2026-06-16T14:52:38.688911,2026-06-16,2026-06-16T19:09:33.470206
2026061603005494,JFL,Janaki Finance Company Limited,15,407.4,6111.0,2026-06-16T14:52:39.141769,2026-06-16,2026-06-16T19:09:33.470204
2026061603005495,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,40,580.0,23200.0,2026-06-16T14:52:39.535392,2026-06-16,2026-06-16T19:09:33.470202
2026061603005496,MNBBL,Muktinath Bikas Bank Ltd.,1,360.7,360.7,2026-06-16T14:52:39.860428,2026-06-16,2026-06-16T19:09:33.470200
2026061603005497,NLICL,National Life Insurance Co. Ltd.,10,579.0,5790.0,2026-06-16T14:52:40.073554,2026-06-16,2026-06-16T19:09:33.470198
2026061603005498,CORBL,Corporate Development Bank Limited,35,1751.0,61285.0,2026-06-16T14:52:43.114935,2026-06-16,2026-06-16T19:09:32.542893
2026061603005499,CORBL,Corporate Development Bank Limited,80,1750.0,140000.0,2026-06-16T14:52:43.115368,2026-06-16,2026-06-16T19:09:32.542892
2026061603005500,CORBL,Corporate Development Bank Limited,100,1750.0,175000.0,2026-06-16T14:52:43.11569,2026-06-16,2026-06-16T19:09:32.542891
2026061603005501,CORBL,Corporate Development Bank Limited,10,1750.0,17500.0,2026-06-16T14:52:43.115968,2026-06-16,2026-06-16T19:09:32.542890
2026061603005502,CORBL,Corporate Development Bank Limited,100,1750.0,175000.0,2026-06-16T14:52:43.116253,2026-06-16,2026-06-16T19:09:32.542889
2026061603005503,CORBL,Corporate Development Bank Limited,10,1750.0,17500.0,2026-06-16T14:52:43.116509,2026-06-16,2026-06-16T19:09:32.542889
2026061603005504,CORBL,Corporate Development Bank Limited,100,1750.0,175000.0,2026-06-16T14:52:43.116765,2026-06-16,2026-06-16T19:09:32.542888
2026061603005505,CORBL,Corporate Development Bank Limited,65,1750.0,113750.0,2026-06-16T14:52:43.11706,2026-06-16,2026-06-16T19:09:32.542887
2026061603005506,NLIC,Nepal Life Insurance Co. Ltd.,10,758.0,7580.0,2026-06-16T14:52:44.821489,2026-06-16,2026-06-16T19:09:32.542879
2026061603005507,CORBL,Corporate Development Bank Limited,73,1750.0,127750.0,2026-06-16T14:52:45.265166,2026-06-16,2026-06-16T19:09:32.542877
2026061603005508,CFCL,Central Finance Co. Ltd.,10,611.1,6111.0,2026-06-16T14:52:45.350439,2026-06-16,2026-06-16T19:09:32.542876
2026061603005509,CFCL,Central Finance Co. Ltd.,40,611.0,24440.0,2026-06-16T14:52:45.350716,2026-06-16,2026-06-16T19:09:32.542874
2026061603005510,CFCL,Central Finance Co. Ltd.,10,610.9,6109.0,2026-06-16T14:52:45.350819,2026-06-16,2026-06-16T19:09:32.542873
2026061603005511,CFCL,Central Finance Co. Ltd.,140,610.7,85498.0,2026-06-16T14:52:45.350907,2026-06-16,2026-06-16T19:09:32.542872
2026061603005512,CORBL,Corporate Development Bank Limited,1,1781.0,1781.0,2026-06-16T14:52:47.385343,2026-06-16,2026-06-16T19:09:32.542861
2026061603005513,NLIC,Nepal Life Insurance Co. Ltd.,10,758.0,7580.0,2026-06-16T14:52:49.840096,2026-06-16,2026-06-16T19:09:30.967823
2026061603005514,NLIC,Nepal Life Insurance Co. Ltd.,26,757.5,19695.0,2026-06-16T14:52:49.840636,2026-06-16,2026-06-16T19:09:30.967822
