contractId,stockSymbol,securityName,contractQuantity,contractRate,contractAmount,tradeTime,businessDate,capturedAt
2026061905000491,HRL,Himalayan Reinsurance Limited,50,630.5,31525.0,2026-06-19T11:19:59.791501,2026-06-19,2026-06-19T15:37:36.640081
2026061901001519,SOPL,Sopan Pharmaceuticals Limited,10,1069.1,10691.0,2026-06-19T11:19:59.548352,2026-06-19,2026-06-19T15:37:36.640089
2026061901001518,SOPL,Sopan Pharmaceuticals Limited,10,1069.1,10691.0,2026-06-19T11:19:58.87,2026-06-19,2026-06-19T15:37:36.640090
2026061901001517,SOPL,Sopan Pharmaceuticals Limited,10,1069.1,10691.0,2026-06-19T11:19:57.455831,2026-06-19,2026-06-19T15:37:36.640092
2026061901001516,BHCL,Bikash Hydropower Company Limited,40,540.1,21604.0,2026-06-19T11:19:57.404849,2026-06-19,2026-06-19T15:37:36.640093
2026061901001515,SOPL,Sopan Pharmaceuticals Limited,10,1069.1,10691.0,2026-06-19T11:19:55.25292,2026-06-19,2026-06-19T15:37:36.640094
2026061901001514,SOPL,Sopan Pharmaceuticals Limited,10,1069.1,10691.0,2026-06-19T11:19:53.945277,2026-06-19,2026-06-19T15:37:36.640095
2026061905000490,HDL,Himalayan Distillery Limited,23,1153.0,26519.0,2026-06-19T11:19:53.507572,2026-06-19,2026-06-19T15:37:36.640096
2026061905000489,HDL,Himalayan Distillery Limited,14,1153.0,16142.0,2026-06-19T11:19:53.507275,2026-06-19,2026-06-19T15:37:36.640098
2026061901001513,SAGAR,Sagar Distillery Limited,10,1658.1,16581.0,2026-06-19T11:19:53.277338,2026-06-19,2026-06-19T15:37:36.640100
2026061901001512,SOPL,Sopan Pharmaceuticals Limited,10,1069.1,10691.0,2026-06-19T11:19:53.153189,2026-06-19,2026-06-19T15:37:36.640101
2026061903000279,PFL,Pokhara Finance Ltd.,50,366.0,18300.0,2026-06-19T11:19:52.320249,2026-06-19,2026-06-19T15:37:36.640103
2026061904000460,BPCL,Butwal Power Company Limited,10,675.0,6750.0,2026-06-19T11:19:51.112344,2026-06-19,2026-06-19T15:37:36.640104
